y,a,b
92,110,0
64,gabage31,gabage106
108,gabage97,89
93,123,9
15,59,4
3,66,gabage90
gabage66,gabage72,118
109,111,gabage113
20,77,116
21,gabage107,36
30,9,65
32,113,80
67,83,51
gabage124,37,gabage89
96,74,40
gabage105,gabage65,55
87,59,69
106,8,gabage30
81,35,58
98,95,35
36,gabage19,92
78,120,103
gabage36,gabage81,108
53,gabage26,gabage51
93,107,gabage83
107,125,gabage32
84,74,100
117,gabage19,107
gabage107,gabage107,120
56,4,51
gabage110,gabage50,71
74,15,17
7,5,73
gabage93,gabage88,84
50,114,103
gabage100,118,78
gabage54,58,106
gabage126,37,95
117,gabage6,41
113,99,gabage82
gabage13,104,97
14,95,gabage68
28,116,gabage46
71,gabage106,gabage60
44,90,gabage103
61,7,65
gabage44,24,20
12,60,80
112,gabage65,41
51,20,gabage16
gabage1,125,gabage91
47,gabage62,gabage92
7,gabage88,79
24,22,gabage125
10,gabage49,122
76,5,5
gabage17,23,33
gabage68,106,gabage9
gabage106,63,23
113,126,gabage84
32,84,45
29,116,54
120,73,58
25,117,108
gabage97,53,90
79,95,69
52,77,15
125,gabage109,113
97,108,87
87,21,75
72,20,19
0,3,68
gabage43,61,126
51,126,106
111,20,gabage113
38,45,101
14,gabage50,49
gabage40,123,102
gabage46,gabage114,56
70,29,56
123,11,25
106,78,gabage40
87,28,gabage32
27,87,87
117,86,gabage122
62,56,89
77,gabage26,49
gabage81,83,gabage51
72,29,gabage27
95,30,28
5,12,103
34,gabage123,gabage3
gabage1,50,32
125,69,114
42,gabage103,gabage57
gabage111,126,gabage66
94,gabage96,gabage58
gabage86,16,gabage85
gabage116,28,gabage2
12,121,gabage38
63,gabage48,gabage6
102,55,10
gabage127,gabage42,49
85,39,75
10,111,gabage83
45,92,0
93,115,28
gabage117,39,125
111,gabage44,gabage11
118,121,gabage29
gabage50,39,gabage115
100,gabage96,gabage14
65,30,gabage95
gabage120,gabage112,120
111,96,99
gabage27,119,74
17,gabage44,119
109,125,33
60,14,70
30,6,21
gabage52,127,18
gabage11,100,65
36,31,108
gabage40,120,56
65,41,75
gabage36,gabage25,113
53,72,12
gabage126,76,118
92,52,24
74,gabage75,gabage120
gabage88,101,gabage112
57,21,59
121,gabage117,60
9,122,4
69,38,56
84,21,21
gabage110,65,gabage103
113,13,122
35,83,64
gabage0,gabage21,125
gabage72,88,117
19,gabage109,2
124,73,87
gabage44,119,120
gabage3,55,gabage54
125,gabage75,123
67,gabage82,73
99,gabage101,gabage109
gabage30,20,gabage31
gabage33,57,gabage66
gabage39,91,43
78,17,67
gabage97,89,gabage21
gabage52,97,92
58,118,123
gabage51,41,26
5,gabage112,gabage46
81,88,95
3,10,19
82,125,gabage56
gabage73,gabage116,46
122,50,gabage96
64,78,51
111,83,98
123,86,87
36,99,35
124,gabage120,24
gabage16,82,126
15,112,38
gabage86,12,37
35,40,71
9,90,115
106,99,24
gabage50,23,6
52,7,111
81,109,107
gabage82,54,37
gabage38,6,gabage0
10,63,gabage106
16,23,26
37,90,81
gabage65,50,57
19,106,33
gabage96,39,96
gabage38,71,gabage120
26,18,107
gabage65,28,gabage26
19,gabage81,62
110,32,63
86,33,gabage44
98,gabage61,gabage59
3,gabage86,70
99,8,86
gabage57,36,14
87,31,95
82,82,35
76,33,88
88,98,99
58,101,gabage87
5,gabage89,48
13,69,114
gabage36,40,127
gabage33,gabage78,81
gabage12,35,96
56,gabage117,76
5,gabage44,103
23,gabage26,101
63,88,gabage66
118,47,122
16,101,58
125,33,13
78,41,gabage117
gabage75,22,114
61,gabage43,122
gabage85,62,65
20,gabage70,gabage16
77,65,gabage22
51,17,1
62,51,25
82,92,13
70,115,41
119,102,29
45,23,45
66,64,39
54,7,10
36,74,34
15,28,gabage53
124,31,73
58,120,34
69,gabage111,gabage61
gabage116,gabage82,9
gabage124,18,51
18,56,82
127,122,45
90,56,73
8,125,110
102,14,56
81,120,110
26,91,109
123,13,27
77,112,30
97,75,74
121,88,gabage13
118,gabage87,gabage11
20,14,5
56,94,23
21,77,43
46,62,62
77,gabage31,39
7,75,16
102,72,7
4,16,124
gabage111,73,114
gabage22,113,108
17,20,112
