v,y,b,x,a
gabage76,44,gabage44,gabage50,89
38,gabage120,26,79,102
gabage88,34,100,38,27
103,60,78,37,gabage126
122,19,123,75,51
107,103,gabage88,gabage91,55
69,gabage30,gabage94,gabage110,gabage4
18,119,70,65,68
116,113,48,77,gabage61
gabage44,48,100,59,105
gabage17,13,107,gabage17,109
gabage17,81,113,30,36
115,120,48,102,58
97,33,gabage33,77,123
63,52,gabage66,gabage25,80
44,127,99,115,14
18,gabage76,12,gabage61,74
50,gabage5,26,95,88
102,92,126,115,18
18,122,gabage1,0,125
34,44,gabage63,57,4
50,gabage35,76,71,1
19,43,gabage26,21,74
112,gabage7,11,81,56
7,0,104,82,gabage8
41,30,47,110,52
114,71,19,118,gabage127
117,gabage117,gabage27,98,29
gabage38,81,81,57,111
0,124,54,gabage64,12
gabage17,gabage21,80,83,101
7,gabage113,89,gabage45,0
gabage31,66,89,18,70
83,68,4,76,123
66,70,20,30,29
gabage58,51,89,10,gabage89
108,72,114,7,gabage75
57,80,63,92,13
116,88,gabage23,16,gabage13
85,83,gabage20,14,54
gabage85,gabage39,71,29,gabage35
39,79,46,11,76
122,42,gabage24,6,60
66,gabage36,108,63,7
0,117,80,36,30
33,117,92,12,gabage86
gabage63,108,gabage123,97,120
18,gabage21,28,23,gabage17
69,gabage48,5,105,gabage67
51,gabage32,104,gabage86,17
gabage53,75,83,95,123
106,87,77,gabage37,11
127,112,127,30,46
31,80,8,63,56
gabage64,120,7,3,8
52,52,gabage0,66,93
104,72,118,105,27
100,116,37,119,gabage87
36,115,102,112,95
95,46,3,gabage32,24
68,122,gabage111,40,95
77,52,40,31,gabage55
76,gabage59,gabage44,21,18
31,gabage9,1,26,78
gabage124,91,37,gabage104,gabage39
52,93,gabage2,63,gabage83
15,49,gabage78,64,21
82,76,22,89,gabage123
gabage32,16,52,16,54
102,gabage85,gabage54,53,3
87,2,gabage47,gabage110,92
113,55,gabage118,95,gabage12
56,37,9,gabage102,8
38,gabage52,99,gabage20,111
1,110,gabage125,13,gabage10
9,gabage88,23,gabage88,114
gabage26,56,49,97,69
19,gabage106,47,57,96
gabage125,66,gabage109,74,122
gabage121,47,127,gabage63,87
109,22,88,2,50
49,54,76,gabage69,gabage47
gabage46,gabage92,22,gabage20,gabage116
3,gabage113,85,97,122
27,79,0,57,gabage24
114,gabage34,gabage80,127,30
gabage15,96,gabage89,26,23
gabage48,gabage9,43,86,5
39,gabage59,gabage32,gabage119,gabage107
46,25,22,84,120
gabage85,112,112,gabage12,0
28,33,gabage71,103,8
113,111,80,66,54
34,18,gabage107,19,121
112,109,15,124,120
31,gabage37,gabage105,gabage108,94
gabage68,62,12,33,123
gabage90,103,91,84,gabage58
0,41,2,77,63
58,85,24,gabage1,58
28,37,26,gabage21,29
14,73,87,12,98
gabage13,13,96,42,4
19,gabage60,78,84,24
55,gabage17,123,18,92
gabage26,19,42,49,102
5,13,55,55,7
109,5,19,11,40
113,gabage46,64,97,gabage19
gabage127,34,28,gabage65,gabage125
64,112,127,13,91
10,88,25,68,gabage14
96,96,45,gabage69,11
49,gabage91,105,gabage53,20
78,107,124,49,87
87,23,66,58,57
37,gabage50,8,58,1
86,gabage124,19,gabage37,gabage24
28,13,33,121,6
66,115,18,15,106
4,gabage96,36,108,73
84,127,70,gabage99,50
gabage22,102,5,35,gabage68
73,53,42,7,58
91,17,gabage80,66,121
108,78,81,114,gabage113
107,68,55,111,gabage125
24,91,3,gabage109,16
58,125,27,73,gabage93
86,gabage64,56,68,93
47,91,gabage101,56,58
gabage75,107,92,87,94
41,71,gabage52,85,8
gabage44,69,108,91,89
16,gabage53,102,gabage73,gabage40
