a,b,x,y,v
74,2,21,116,55
gabage25,gabage99,67,43,82
4,gabage98,gabage13,96,62
81,125,119,gabage85,53
68,17,27,110,gabage87
78,19,16,58,5
115,44,44,5,52
gabage68,82,gabage38,gabage88,15
34,gabage70,109,gabage100,108
110,78,73,18,84
110,41,73,125,44
gabage69,gabage19,127,24,14
112,100,gabage66,41,80
35,58,13,49,gabage94
34,12,gabage54,60,51
29,110,33,100,54
66,82,gabage109,18,gabage37
gabage14,91,124,60,gabage13
88,gabage10,40,55,121
97,45,0,51,35
29,gabage119,gabage103,49,gabage6
gabage125,113,gabage3,9,gabage31
9,19,119,gabage47,16
36,gabage47,84,110,3
112,21,gabage107,23,119
104,82,37,94,gabage25
17,15,22,88,gabage21
17,77,70,59,gabage103
gabage67,114,33,gabage96,5
6,26,17,119,gabage90
3,11,99,95,109
45,55,gabage47,92,63
gabage9,gabage27,61,13,118
82,113,gabage83,88,92
gabage84,46,3,126,32
35,78,gabage69,85,68
107,85,8,117,30
45,115,gabage108,gabage116,52
117,95,22,gabage3,51
gabage108,121,gabage30,33,6
gabage90,47,gabage45,gabage89,19
97,93,gabage53,17,116
110,92,60,37,119
76,12,gabage19,35,78
90,48,78,16,75
85,gabage103,gabage100,gabage117,61
21,127,70,14,60
49,20,67,114,74
18,105,gabage1,69,53
119,97,51,gabage4,gabage48
63,7,30,110,124
gabage103,122,gabage72,58,gabage111
gabage11,3,36,50,gabage76
13,28,121,12,107
gabage65,62,gabage106,gabage30,54
61,118,115,76,74
48,78,34,111,23
gabage55,120,gabage117,gabage116,75
84,12,gabage78,23,31
gabage126,61,gabage88,gabage15,40
42,110,gabage36,32,63
gabage43,100,65,18,44
gabage1,55,gabage50,70,60
13,110,64,52,42
125,55,gabage104,30,68
74,gabage80,14,62,39
gabage38,91,8,117,113
15,79,22,46,126
8,gabage32,94,73,gabage125
89,gabage63,gabage109,gabage35,31
42,84,32,62,38
gabage5,43,12,91,gabage63
94,52,127,16,gabage23
68,97,53,76,47
28,86,32,71,116
102,47,2,42,37
gabage14,83,gabage22,26,48
102,10,86,66,74
48,64,gabage64,127,34
12,83,90,gabage14,gabage58
29,83,107,105,62
115,96,62,15,13
92,70,63,gabage112,gabage23
87,34,88,44,85
75,gabage23,94,25,48
73,gabage12,64,54,22
66,61,38,87,25
108,92,122,126,gabage74
112,99,gabage77,97,37
123,gabage120,2,69,59
gabage59,50,gabage67,26,34
50,64,124,5,113
28,19,88,96,40
106,91,124,96,29
gabage29,86,gabage123,70,72
gabage100,5,126,34,106
83,86,125,83,15
36,16,6,47,gabage31
92,82,gabage58,90,64
49,gabage120,gabage40,gabage79,61
52,21,gabage11,65,32
65,56,gabage126,75,107
125,gabage118,77,gabage115,1
28,104,gabage78,40,58
2,26,gabage12,gabage115,116
69,gabage21,92,117,106
61,74,2,43,gabage8
gabage56,gabage87,95,gabage99,74
122,40,77,125,gabage113
47,28,gabage116,10,89
13,82,gabage36,123,82
127,12,38,0,35
82,101,106,91,58
68,gabage40,44,gabage4,82
111,41,54,31,gabage70
gabage121,65,78,gabage98,38
49,42,103,gabage93,87
8,94,18,85,gabage42
94,125,gabage105,59,gabage100
85,gabage50,gabage56,22,gabage25
gabage24,gabage90,40,11,gabage52
34,gabage94,gabage65,118,11
108,74,gabage68,gabage95,gabage57
36,84,31,24,55
gabage106,76,107,67,gabage87
66,gabage39,60,84,gabage14
gabage19,29,108,111,gabage86
88,102,89,26,gabage18
121,gabage127,100,34,gabage17
gabage25,123,61,28,115
gabage10,28,gabage42,gabage11,41
3,97,51,93,43
126,86,34,7,60
gabage48,34,25,85,123
15,127,gabage57,66,118
19,gabage103,46,gabage86,125
gabage15,70,81,61,7
73,19,62,109,23
45,35,gabage39,37,19
84,56,gabage72,57,56
gabage87,gabage107,19,gabage15,100
100,114,85,30,gabage28
gabage96,48,112,gabage102,108
gabage102,117,35,76,62
gabage46,gabage94,16,63,72
gabage52,127,52,96,37
89,37,gabage96,54,94
gabage99,10,gabage116,71,103
gabage55,71,27,44,22
46,3,86,60,12
58,82,gabage61,32,108
112,70,gabage32,67,gabage111
94,93,41,gabage24,61
3,51,124,51,115
6,2,gabage87,gabage47,gabage14
105,1,123,57,125
85,109,99,59,79
gabage15,gabage48,gabage71,82,39
gabage98,116,gabage108,61,52
70,gabage99,31,51,20
116,67,14,97,123
25,103,107,46,gabage3
82,26,gabage66,68,gabage115
96,60,23,125,gabage34
10,47,0,117,gabage48
92,100,112,20,51
24,42,28,114,gabage21
gabage120,48,gabage48,0,69
83,84,gabage45,36,33
111,83,82,50,gabage31
6,78,gabage59,122,gabage40
125,gabage100,98,58,122
68,10,gabage20,28,36
0,73,90,119,gabage11
gabage9,35,88,92,37
39,109,77,33,56
75,9,gabage125,33,91
48,4,114,gabage88,31
62,gabage60,gabage74,70,108
gabage42,gabage25,82,119,54
49,gabage77,gabage44,102,68
118,107,32,25,83
54,101,122,40,63
126,59,71,gabage98,77
62,18,gabage51,13,28
65,98,gabage86,20,gabage72
gabage26,90,gabage114,gabage18,63
gabage3,78,gabage103,65,7
90,104,21,81,83
gabage82,113,45,65,42
120,113,gabage80,gabage116,gabage4
104,gabage31,6,108,gabage35
112,80,117,86,107
127,72,gabage90,gabage69,102
gabage35,49,34,70,125
gabage59,29,33,52,89
31,gabage71,19,61,82
gabage116,122,gabage89,74,99
