b,a,y
115,0,gabage103
81,56,gabage85
52,gabage103,123
gabage98,44,102
52,124,102
1,65,37
gabage55,112,3
74,gabage97,gabage7
116,gabage31,gabage34
88,26,17
60,86,26
85,2,39
gabage60,110,74
28,gabage62,111
2,gabage36,80
gabage46,126,108
46,gabage97,14
gabage34,103,40
97,gabage47,122
2,gabage74,88
82,8,51
73,32,10
114,8,113
78,82,1
gabage1,20,13
29,63,gabage48
27,22,63
0,98,gabage76
13,33,114
24,49,gabage7
110,84,120
11,72,31
82,108,60
26,gabage122,4
82,31,gabage107
gabage111,33,1
79,gabage89,gabage48
102,28,1
101,28,68
102,9,25
52,96,91
70,124,31
33,20,gabage64
53,64,98
25,gabage123,87
3,44,gabage31
gabage57,gabage3,gabage79
114,113,gabage79
107,122,gabage87
1,7,gabage112
84,126,gabage45
84,gabage1,47
74,97,gabage22
36,34,51
54,88,57
54,23,73
107,53,123
124,94,4
0,2,64
59,95,gabage12
gabage96,gabage93,36
113,28,14
127,25,100
27,gabage127,102
37,59,100
113,35,gabage80
126,gabage23,106
123,124,gabage118
36,125,42
gabage67,46,94
70,57,7
27,55,52
25,gabage40,gabage77
69,gabage27,78
gabage74,87,46
114,32,101
55,16,40
108,95,49
gabage46,21,20
gabage99,30,46
98,91,91
gabage25,117,gabage72
96,6,gabage69
11,73,42
93,44,96
59,95,gabage103
88,gabage30,3
97,13,gabage28
102,82,34
gabage103,65,gabage127
75,60,122
gabage106,gabage86,106
3,90,90
48,66,1
88,36,13
18,gabage11,3
gabage15,120,121
53,65,gabage109
gabage102,119,80
15,gabage47,125
51,103,54
95,115,49
33,gabage116,gabage70
45,gabage47,120
4,gabage29,8
81,13,30
108,gabage112,67
75,89,gabage66
gabage57,37,58
gabage108,22,97
gabage22,34,4
42,58,126
6,100,83
55,19,48
56,gabage71,7
103,47,30
24,gabage8,71
gabage22,2,14
84,8,121
40,104,28
gabage40,gabage35,gabage90
gabage6,12,107
gabage85,17,100
124,24,113
29,gabage17,55
127,76,83
55,60,gabage127
118,30,80
15,40,127
58,60,6
41,19,121
75,gabage71,97
21,gabage12,61
gabage93,79,gabage18
107,3,88
112,gabage54,32
20,gabage23,6
91,26,83
53,118,78
57,8,93
45,5,43
70,50,124
36,63,50
gabage77,19,77
gabage110,18,43
95,75,119
118,110,26
68,38,gabage93
19,gabage122,gabage72
119,8,50
125,gabage63,125
84,110,72
gabage111,22,63
gabage9,64,95
58,gabage27,74
