a,b,y
61,51,52
123,88,gabage3
115,gabage56,110
35,101,55
77,gabage38,gabage93
71,gabage38,gabage78
45,110,48
103,9,gabage12
78,50,95
116,21,110
94,103,41
gabage91,gabage122,23
gabage61,83,123
19,gabage80,28
48,26,gabage40
gabage88,7,92
gabage12,48,70
27,74,37
gabage95,41,102
56,gabage53,gabage106
120,94,gabage99
gabage80,gabage66,30
124,88,69
gabage22,10,gabage123
60,50,82
gabage2,99,gabage114
119,gabage10,92
69,86,gabage88
102,15,74
56,gabage24,126
9,gabage90,102
16,106,64
35,93,84
57,gabage118,11
96,gabage16,29
81,9,84
31,51,44
97,75,116
9,gabage84,82
119,26,gabage25
30,gabage97,57
gabage5,104,79
80,47,7
96,0,gabage9
34,60,56
94,44,0
111,118,125
61,35,gabage51
66,62,19
41,116,21
112,18,75
44,gabage25,gabage29
79,72,gabage49
67,gabage61,gabage62
99,76,87
gabage107,gabage15,101
38,44,gabage58
54,61,21
gabage44,73,67
56,74,47
72,9,6
47,25,28
gabage75,gabage5,78
20,gabage95,84
103,65,56
49,58,77
gabage40,78,10
gabage18,33,gabage83
76,gabage70,19
64,58,71
17,119,58
124,gabage111,gabage79
44,66,28
20,25,13
52,gabage114,gabage38
gabage62,127,102
18,gabage27,19
44,100,gabage123
gabage121,13,52
104,122,22
83,127,90
86,97,60
93,91,gabage123
126,104,6
81,gabage71,gabage24
113,32,98
4,108,gabage118
gabage69,24,0
111,64,18
gabage48,125,gabage78
71,49,17
66,gabage123,103
113,54,125
126,18,69
60,gabage120,120
82,15,121
29,110,35
95,gabage58,gabage65
gabage43,gabage99,36
gabage52,121,gabage102
64,69,gabage119
gabage108,116,38
7,92,117
77,61,108
22,112,gabage17
114,67,46
31,82,gabage47
53,gabage68,82
86,3,8
59,3,46
gabage15,gabage30,127
gabage62,gabage38,36
34,109,13
35,24,48
67,gabage13,86
106,23,55
gabage32,31,72
69,67,54
35,gabage69,52
82,113,30
82,gabage95,58
23,gabage97,111
83,26,56
75,100,57
gabage73,26,gabage91
0,0,43
73,gabage114,gabage77
106,69,72
117,gabage59,95
15,105,124
gabage59,gabage45,107
gabage86,121,gabage69
6,9,30
42,gabage54,68
29,15,40
61,61,gabage25
23,gabage80,108
gabage27,28,gabage44
25,124,34
52,108,gabage85
58,54,gabage64
94,104,gabage122
82,36,gabage119
99,114,gabage122
gabage103,5,gabage73
gabage31,35,gabage60
78,86,7
gabage9,95,24
9,111,127
23,gabage49,116
10,42,107
103,106,gabage76
71,gabage74,36
gabage111,gabage61,gabage22
gabage30,45,50
96,gabage24,15
74,57,76
31,105,82
109,10,gabage82
gabage115,90,gabage120
71,35,88
34,83,13
gabage24,gabage49,gabage4
gabage15,52,63
107,gabage69,8
89,67,43
64,gabage118,101
13,86,15
77,126,55
83,14,16
gabage122,110,gabage122
76,9,gabage70
95,gabage44,105
56,13,77
123,7,43
gabage58,74,43
22,71,99
80,114,gabage27
109,13,112
85,13,gabage70
24,gabage38,gabage54
gabage84,90,112
11,gabage80,32
126,gabage17,42
89,30,67
26,99,89
31,70,gabage55
51,127,118
24,47,31
18,55,gabage24
13,73,22
24,38,106
110,97,37
55,118,41
49,gabage84,119
18,38,gabage77
gabage75,gabage26,117
18,23,79
107,36,12
71,81,47
gabage5,109,74
28,gabage77,92
67,36,gabage8
49,7,74
gabage99,96,72
31,43,75
66,gabage22,6
44,14,gabage62
72,71,114
12,20,25
32,41,gabage56
gabage85,29,83
65,gabage12,23
74,35,gabage121
8,60,38
19,51,gabage13
123,44,42
12,gabage93,65
64,23,46
63,54,gabage31
124,40,126
gabage116,33,gabage90
gabage14,78,26
126,21,gabage1
121,107,89
90,49,73
92,gabage33,gabage23
104,9,33
53,114,116
9,gabage99,gabage69
98,104,gabage116
5,98,gabage91
118,15,48
gabage99,40,0
60,96,gabage90
121,120,14
gabage125,gabage11,124
gabage112,97,91
68,gabage62,12
20,29,124
108,46,gabage57
96,9,gabage81
58,111,98
gabage65,102,gabage65
gabage91,gabage43,86
17,99,53
127,14,49
53,34,5
59,62,44
47,109,30
