a,v,b,y
gabage77,gabage118,113,25
gabage8,81,91,3
gabage124,36,127,4
41,gabage9,97,92
20,40,6,60
gabage125,25,126,59
35,gabage68,63,gabage2
gabage44,115,0,53
17,85,9,84
9,94,gabage8,gabage124
58,44,34,88
127,gabage2,0,120
83,92,110,gabage103
87,123,gabage58,gabage39
gabage51,gabage52,103,72
4,31,gabage101,gabage60
31,19,1,26
101,gabage38,114,4
30,26,gabage47,gabage13
gabage110,44,61,15
59,70,18,127
14,gabage3,97,87
55,6,gabage28,gabage89
48,72,gabage90,0
21,19,101,51
120,54,119,76
gabage84,84,2,gabage52
101,82,97,110
107,56,15,gabage105
gabage18,3,gabage34,124
21,6,14,21
11,112,48,15
80,54,96,28
114,95,gabage44,61
48,102,126,56
113,9,gabage123,8
68,gabage20,86,gabage72
47,59,47,29
2,16,37,13
gabage45,39,106,85
111,gabage49,78,72
16,33,106,0
gabage58,gabage91,gabage26,61
41,43,12,gabage8
52,55,85,58
110,127,gabage6,123
0,gabage119,gabage54,gabage16
88,125,62,114
25,9,81,76
0,24,gabage11,49
39,gabage87,64,114
50,104,gabage112,91
86,46,100,75
gabage80,87,62,gabage106
104,gabage123,68,gabage53
115,42,6,27
gabage57,104,59,gabage14
125,81,40,96
gabage39,14,66,15
gabage55,gabage24,9,73
gabage107,gabage45,gabage10,6
3,51,97,2
127,gabage69,65,125
45,120,gabage82,1
7,13,gabage56,83
73,gabage14,26,99
3,12,101,102
2,19,92,58
gabage106,gabage119,30,45
15,95,gabage90,19
8,46,85,74
gabage48,15,7,gabage71
118,34,9,108
53,gabage114,115,98
8,92,gabage91,81
gabage64,74,gabage70,gabage38
97,10,80,gabage119
56,38,99,53
0,6,48,105
gabage35,77,70,67
12,gabage73,26,20
78,42,97,9
106,19,29,34
87,14,gabage98,14
109,33,72,gabage9
gabage42,51,125,106
102,92,gabage79,gabage53
gabage56,121,74,32
gabage126,93,4,10
gabage99,26,33,gabage82
41,gabage8,116,105
gabage121,gabage96,37,gabage28
gabage115,71,3,gabage48
5,2,52,82
gabage120,gabage108,62,71
11,122,79,62
9,19,95,1
33,114,32,107
gabage122,126,109,gabage122
gabage23,gabage5,91,gabage100
51,gabage96,80,15
44,gabage119,50,3
gabage29,108,17,93
3,33,gabage61,53
103,13,gabage31,gabage15
gabage29,30,70,90
gabage95,84,10,76
64,63,30,50
16,79,88,gabage10
gabage56,gabage74,80,7
69,13,50,80
gabage86,61,61,71
10,gabage58,gabage93,11
52,93,25,gabage35
22,55,gabage66,55
4,72,61,5
gabage84,119,110,3
39,118,122,gabage95
124,12,44,gabage81
42,40,55,43
34,37,gabage35,gabage38
gabage58,104,gabage15,81
27,97,gabage47,gabage56
85,82,8,gabage62
87,108,102,123
gabage105,gabage21,109,gabage89
105,gabage69,gabage32,gabage26
gabage30,10,gabage91,80
55,5,gabage86,25
81,33,117,gabage48
80,7,3,gabage108
gabage70,52,18,1
21,94,32,35
27,gabage23,40,53
3,31,gabage46,53
gabage55,gabage92,101,4
64,gabage119,55,gabage72
gabage114,125,94,70
36,gabage26,106,10
73,40,gabage8,103
94,96,104,7
gabage39,64,gabage83,3
13,79,67,23
gabage124,77,gabage42,122
14,87,10,52
gabage67,gabage80,42,107
82,gabage60,3,26
61,gabage15,11,108
22,66,115,90
73,38,121,112
27,61,92,gabage7
57,65,gabage56,67
91,90,108,126
55,gabage2,7,122
41,115,37,72
102,gabage79,37,gabage78
75,104,14,52
99,12,85,gabage37
90,gabage81,35,gabage105
11,27,100,gabage48
gabage119,97,115,gabage116
64,77,34,63
gabage47,71,51,62
gabage126,32,68,91
126,gabage84,97,85
9,127,82,99
67,4,71,57
58,gabage91,92,63
53,5,gabage125,117
115,20,gabage5,78
23,39,21,54
27,0,28,46
5,51,117,100
gabage81,gabage122,gabage101,gabage41
30,28,gabage116,66
93,87,112,42
31,38,100,105
65,81,32,19
39,25,7,gabage126
10,gabage57,118,59
gabage8,117,54,66
75,17,94,34
26,9,3,gabage47
1,99,gabage58,gabage89
122,9,59,83
gabage1,0,115,100
98,31,gabage113,32
gabage107,127,113,gabage13
45,gabage4,85,89
41,gabage125,103,68
57,98,127,30
105,20,28,15
111,107,121,gabage2
126,26,gabage25,36
79,23,2,gabage11
gabage45,1,gabage16,7
77,gabage50,gabage72,gabage82
79,gabage45,46,92
30,123,86,82
gabage87,16,50,8
112,49,84,gabage124
35,gabage68,26,64
85,37,21,118
gabage93,100,gabage43,gabage77
6,44,86,gabage5
gabage11,gabage58,31,gabage49
43,gabage53,74,69
20,49,gabage124,49
gabage106,110,gabage57,1
51,53,126,14
9,125,87,113
26,57,gabage63,gabage82
gabage111,21,61,19
78,87,19,125
126,116,61,gabage56
37,44,86,gabage46
gabage119,gabage84,gabage107,111
gabage19,80,26,52
69,49,gabage26,gabage113
117,89,108,gabage80
21,70,90,23
78,gabage49,42,gabage25
4,75,22,2
gabage127,gabage9,120,69
45,70,125,gabage57
