a,v,y,b
52,124,127,26
63,2,98,22
51,gabage48,83,91
101,19,gabage121,gabage33
36,105,106,67
gabage76,gabage39,48,42
9,gabage114,53,124
27,86,72,gabage124
gabage2,15,gabage79,gabage83
12,54,gabage29,5
97,106,gabage49,91
101,72,116,gabage21
gabage58,79,116,53
gabage74,gabage64,15,18
gabage55,88,gabage20,8
11,51,86,31
gabage59,80,gabage55,82
39,106,121,gabage69
47,81,84,109
92,52,31,87
30,gabage78,gabage80,20
102,59,gabage18,gabage25
17,68,7,122
96,41,60,gabage34
50,74,31,gabage119
43,32,103,71
gabage76,64,8,112
65,gabage46,72,88
77,100,63,69
24,104,gabage108,gabage126
116,53,74,58
14,16,22,78
62,102,108,3
5,123,gabage88,102
gabage5,13,115,40
42,gabage18,gabage54,61
32,55,25,gabage100
gabage73,28,85,1
gabage37,gabage126,25,125
57,91,22,58
57,68,14,101
39,92,gabage75,77
gabage24,54,92,5
74,gabage49,37,62
gabage15,69,85,28
gabage76,gabage61,59,94
10,3,105,126
72,75,gabage33,116
43,14,20,55
64,61,5,113
74,gabage126,103,86
gabage8,74,60,37
gabage119,75,gabage97,123
10,gabage96,55,0
12,52,70,69
122,81,83,78
gabage91,100,4,41
41,109,28,52
72,gabage10,82,gabage69
91,90,19,75
56,105,gabage17,25
20,gabage101,gabage26,gabage21
98,24,gabage53,1
50,65,9,68
84,126,83,97
106,37,82,gabage65
65,14,101,31
gabage0,26,48,95
87,118,47,97
101,44,58,103
6,91,110,52
112,55,7,95
75,87,97,gabage25
12,gabage72,gabage122,107
16,22,125,100
gabage126,gabage2,107,41
102,63,11,44
88,105,50,gabage33
98,63,112,69
gabage40,112,gabage74,17
4,gabage112,99,52
gabage37,45,26,77
49,125,gabage115,105
102,23,100,109
120,gabage116,118,108
gabage19,gabage57,gabage24,95
51,27,gabage73,gabage95
67,118,23,36
gabage39,gabage76,91,10
90,gabage21,101,gabage81
108,119,119,10
66,14,70,97
107,25,33,gabage67
94,71,47,gabage25
53,gabage62,18,59
30,52,115,39
81,60,4,68
72,85,38,69
29,42,68,120
gabage122,20,1,33
107,56,gabage6,106
93,41,gabage28,6
77,103,36,22
62,76,107,45
gabage77,100,111,41
25,gabage16,12,gabage85
111,gabage52,86,75
58,gabage56,126,72
82,51,gabage64,gabage88
4,69,10,gabage22
gabage0,gabage35,115,105
50,93,112,36
82,gabage3,56,37
87,gabage101,48,81
88,98,125,98
124,115,gabage5,106
gabage90,gabage1,36,74
91,68,101,97
104,49,gabage2,45
gabage55,gabage65,95,gabage17
99,0,59,104
15,50,17,56
126,112,gabage10,113
gabage105,gabage62,79,54
gabage100,57,78,34
121,104,103,10
110,114,69,107
77,27,27,86
gabage76,65,44,gabage91
gabage36,5,62,98
76,127,42,86
34,57,67,gabage45
81,29,gabage83,51
gabage61,9,116,gabage22
gabage70,42,68,62
79,gabage44,37,10
125,91,gabage59,48
gabage70,gabage41,62,48
gabage46,41,110,37
113,112,8,gabage102
12,6,gabage17,105
7,35,gabage98,23
74,72,108,2
35,32,105,gabage9
80,gabage125,63,89
119,112,31,17
43,1,gabage102,61
77,39,54,gabage19
gabage96,16,55,47
47,37,gabage23,gabage125
48,18,76,80
gabage18,gabage0,16,30
gabage72,83,13,97
79,87,96,51
33,118,gabage50,122
9,gabage37,gabage58,92
67,51,40,58
42,41,114,52
63,gabage1,gabage40,13
3,0,108,gabage105
30,gabage55,121,gabage67
45,93,110,48
gabage36,51,32,69
49,gabage73,115,46
84,gabage16,24,87
109,90,gabage3,25
gabage101,42,82,gabage11
gabage83,11,69,88
25,gabage23,109,43
87,122,39,73
gabage73,36,gabage36,73
5,gabage8,126,gabage25
110,122,gabage83,92
gabage60,121,gabage13,gabage73
51,gabage44,116,gabage29
42,77,24,97
67,98,gabage10,gabage10
49,111,123,27
113,gabage85,78,120
75,52,101,21
gabage29,58,47,gabage108
