n,human,comp
0,0,0
1,10,1e-08
2,20,4e-08
3,30,9e-08
4,40,1.6e-07
5,50,2.5e-07
6,60,3.6e-07
7,70,4.9e-07
8,80,6.4e-07
9,90,8.1e-07
10,100,1e-06
11,110,1.21e-06
12,120,1.44e-06
13,130,1.69e-06
14,140,1.96e-06
15,150,2.25e-06
16,160,2.56e-06
17,170,2.89e-06
18,180,3.24e-06
19,190,3.61e-06
20,200,4e-06
21,210,4.41e-06
22,220,4.84e-06
23,230,5.29e-06
24,240,5.76e-06
25,250,6.25e-06
26,260,6.76e-06
27,270,7.29e-06
28,280,7.84e-06
29,290,8.41e-06
30,300,9e-06
31,310,9.61e-06
32,320,1.024e-05
33,330,1.089e-05
34,340,1.156e-05
35,350,1.225e-05
36,360,1.296e-05
37,370,1.369e-05
38,380,1.444e-05
39,390,1.521e-05
40,400,1.6e-05
41,410,1.681e-05
42,420,1.764e-05
43,430,1.849e-05
44,440,1.936e-05
45,450,2.025e-05
46,460,2.116e-05
47,470,2.209e-05
48,480,2.304e-05
49,490,2.401e-05
50,500,2.5e-05
51,510,2.601e-05
52,520,2.704e-05
53,530,2.809e-05
54,540,2.916e-05
55,550,3.025e-05
56,560,3.136e-05
57,570,3.249e-05
58,580,3.364e-05
59,590,3.481e-05
60,600,3.6e-05
61,610,3.721e-05
62,620,3.844e-05
63,630,3.969e-05
64,640,4.096e-05
65,650,4.225e-05
66,660,4.356e-05
67,670,4.489e-05
68,680,4.624e-05
69,690,4.761e-05
70,700,4.9e-05
71,710,5.041e-05
72,720,5.184e-05
73,730,5.329e-05
74,740,5.476e-05
75,750,5.625e-05
76,760,5.776e-05
77,770,5.929e-05
78,780,6.084e-05
79,790,6.241e-05
80,800,6.4e-05
81,810,6.561e-05
82,820,6.724e-05
83,830,6.889e-05
84,840,7.056e-05
85,850,7.225e-05
86,860,7.396e-05
87,870,7.569e-05
88,880,7.744e-05
89,890,7.921e-05
90,900,8.1e-05
91,910,8.281e-05
92,920,8.464e-05
93,930,8.649e-05
94,940,8.836e-05
95,950,9.025e-05
96,960,9.216e-05
97,970,9.409e-05
98,980,9.604e-05
99,990,9.801e-05
100,1000,0.0001
101,1010,0.00010201
102,1020,0.00010404
103,1030,0.00010609
104,1040,0.00010816
105,1050,0.00011025
106,1060,0.00011236
107,1070,0.00011449
108,1080,0.00011664
109,1090,0.00011881
110,1100,0.000121
111,1110,0.00012321
112,1120,0.00012544
113,1130,0.00012769
114,1140,0.00012996
115,1150,0.00013225
116,1160,0.00013456
117,1170,0.00013689
118,1180,0.00013924
119,1190,0.00014161
120,1200,0.000144
121,1210,0.00014641
122,1220,0.00014884
123,1230,0.00015129
