N	merge	bubble	quick	STL
38	1.73E-05	6.50E-06	7.26E-06	6.99E-06
46	1.36E-05	1.05E-05	7.42E-06	5.19E-06
55	1.52E-05	1.65E-05	2.23E-05	5.35E-06
66	2.91E-05	1.98E-05	1.07E-05	6.69E-06
79	2.32E-05	2.75E-05	1.44E-05	8.38E-06
95	2.83E-05	4.00E-05	1.58E-05	1.01E-05
114	3.24E-05	4.94E-05	2.03E-05	1.23E-05
137	3.84E-05	7.50E-05	2.99E-05	1.39E-05
165	4.38E-05	0.000110017	2.82E-05	1.79E-05
198	5.92E-05	0.000161216	3.39E-05	2.21E-05
237	6.92E-05	0.00023037	4.26E-05	2.90E-05
285	8.50E-05	0.000322142	5.49E-05	3.46E-05
342	0.000109213	0.000436159	7.69E-05	4.77E-05
410	0.000150007	0.000672237	7.56E-05	4.04E-05
493	0.000149466	0.000835191	7.27E-05	4.43E-05
591	0.000125224	0.00106612	8.91E-05	5.33E-05
709	0.000149849	0.00160327	0.000109371	6.39E-05
851	0.000195424	0.00228164	0.000138772	8.63E-05
1022	0.000215638	0.00375784	0.000223664	0.000149605
1226	0.000392332	0.00746073	0.000307129	0.000244275
1472	0.000532964	0.00804399	0.000532526	0.000209558
1766	0.000488951	0.015831	0.000542655	0.000357342
2119	0.000959005	0.0212213	0.000471273	0.000328237
2543	0.000788247	0.0273119	0.000787277	0.000522471
3052	0.0014629	0.0411523	0.000762798	0.000627369
3663	0.00140792	0.0568365	0.000746436	0.000468863
