N,Average
1,5
2,5.5
3,5.66667
4,5.75
5,5.4
6,5.5
7,5
8,4.75
9,4.77778
10,4.7
11,4.63636
12,4.41667
13,4.46154
14,4.28571
15,4.26667
16,4.3125
17,4.23529
18,4.22222
19,4.31579
20,4.2
21,4.09524
22,4.18182
23,4.26087
24,4.16667
25,4.24
26,4.23077
27,4.22222
28,4.21429
29,4.24138
30,4.16667
31,4.06452
32,4
33,3.93939
34,3.94118
35,4
36,3.91667
37,3.97297
38,3.92105
39,3.94872
40,3.875
41,3.87805
42,3.80952
43,3.86047
44,3.90909
45,3.91111
46,3.91304
47,3.95745
48,3.89583
49,3.85714
50,3.86
51,3.90196
52,3.86538
53,3.84906
54,3.87037
55,3.81818
56,3.85714
57,3.82456
58,3.81034
59,3.81356
60,3.85
61,3.85246
62,3.8871
63,3.88889
64,3.89062
65,3.89231
66,3.92424
67,3.8806
68,3.88235
69,3.88406
70,3.85714
71,3.8169
72,3.80556
73,3.78082
74,3.74324
75,3.77333
76,3.78947
77,3.77922
78,3.74359
79,3.74684
80,3.775
81,3.80247
82,3.76829
83,3.77108
84,3.77381
85,3.8
86,3.81395
87,3.82759
88,3.80682
89,3.80899
90,3.78889
91,3.75824
92,3.77174
93,3.75269
94,3.7234
95,3.70526
96,3.70833
97,3.69072
98,3.67347
99,3.67677
100,3.66
101,3.64356
102,3.66667
103,3.67961
104,3.70192
105,3.68571
106,3.70755
107,3.68224
108,3.7037
109,3.68807
110,3.67273
111,3.69369
112,3.6875
113,3.67257
114,3.65789
115,3.63478
116,3.61207
117,3.59829
118,3.60169
119,3.60504
120,3.60833
121,3.61983
122,3.62295
123,3.62602
124,3.60484
125,3.624
126,3.61111
127,3.62992
128,3.60938
129,3.5969
130,3.57692
131,3.56489
132,3.56818
133,3.57895
134,3.56716
135,3.57037
136,3.57353
137,3.59124
138,3.6087
139,3.60432
140,3.59286
141,3.58156
142,3.57746
143,3.59441
144,3.59028
145,3.58621
146,3.59589
147,3.59864
148,3.60811
149,3.5906
150,3.57333
151,3.57616
152,3.55921
153,3.57516
154,3.57143
155,3.5871
156,3.57692
157,3.57962
158,3.56962
159,3.55346
160,3.56875
161,3.58385
162,3.57407
163,3.58896
164,3.60366
165,3.61818
166,3.62048
167,3.62874
168,3.64286
169,3.64497
170,3.65882
171,3.64912
172,3.63372
173,3.63584
174,3.64368
175,3.64
176,3.625
177,3.63842
178,3.63483
179,3.6257
180,3.61667
181,3.61326
182,3.60989
183,3.60109
184,3.61413
185,3.61622
186,3.61828
187,3.61497
188,3.62234
189,3.61905
190,3.61579
191,3.60733
192,3.59896
193,3.59067
194,3.60309
195,3.60513
196,3.59184
197,3.58376
198,3.59091
199,3.58794
200,3.58
201,3.58706
202,3.58416
203,3.58621
204,3.59804
205,3.6
206,3.6068
207,3.61353
208,3.61058
209,3.61722
210,3.61905
211,3.61137
212,3.61321
213,3.60563
214,3.61215
215,3.6093
216,3.59722
217,3.58986
218,3.59633
219,3.60274
