n,pi
1,4.0000
2,4.0000
3,4.0000
4,4.0000
5,4.0000
6,4.0000
7,4.0000
8,3.5000
9,3.5556
10,3.2000
11,3.2727
12,3.0000
13,3.0769
14,3.1429
15,3.2000
16,3.2500
17,3.2941
18,3.3333
19,3.3684
20,3.4000
21,3.4286
22,3.4545
23,3.3043
24,3.3333
25,3.3600
26,3.2308
27,3.2593
28,3.2857
29,3.3103
30,3.3333
31,3.2258
32,3.2500
33,3.2727
34,3.2941
35,3.3143
36,3.3333
37,3.2432
38,3.2632
39,3.2821
40,3.3000
41,3.2195
42,3.2381
43,3.2558
44,3.2727
45,3.2000
46,3.2174
47,3.1489
48,3.1667
49,3.1837
50,3.2000
51,3.2157
52,3.2308
53,3.2453
54,3.2593
55,3.2727
56,3.2857
57,3.2982
58,3.3103
59,3.3220
60,3.3333
61,3.3443
62,3.3548
63,3.3651
64,3.3750
65,3.3846
66,3.3939
67,3.3433
68,3.2941
69,3.3043
70,3.3143
71,3.3239
72,3.3333
73,3.2877
74,3.2973
75,3.3067
76,3.3158
77,3.2727
78,3.2821
79,3.2911
80,3.3000
81,3.3086
82,3.3171
83,3.3253
84,3.3333
85,3.3412
86,3.3023
87,3.3103
88,3.2727
89,3.2809
90,3.2889
91,3.2967
92,3.3043
93,3.2688
94,3.2766
95,3.2842
96,3.2917
97,3.2577
98,3.2653
99,3.2727
100,3.2800
101,3.2871
102,3.2941
103,3.3010
104,3.3077
105,3.2762
106,3.2830
107,3.2897
108,3.2963
109,3.3028
110,3.3091
111,3.2793
112,3.2857
113,3.2920
114,3.2982
115,3.3043
116,3.3103
117,3.3162
118,3.3220
119,3.3277
120,3.3333
121,3.3058
122,3.3115
123,3.2846
124,3.2903
125,3.2960
126,3.3016
127,3.3071
128,3.3125
129,3.3178
130,3.3231
131,3.3282
132,3.3333
133,3.3083
134,3.3134
135,3.3185
136,3.3235
137,3.3285
138,3.3333
139,3.3381
140,3.3143
141,3.3191
142,3.3239
143,3.3287
144,3.3056
145,3.2828
146,3.2603
147,3.2653
148,3.2432
149,3.2483
150,3.2533
151,3.2583
152,3.2632
153,3.2418
154,3.2208
155,3.2258
156,3.2308
157,3.2102
158,3.2152
159,3.2201
160,3.2250
161,3.2298
162,3.2346
163,3.2393
164,3.2439
165,3.2242
166,3.2289
167,3.2096
168,3.2143
169,3.1953
170,3.1765
171,3.1813
172,3.1860
173,3.1908
174,3.1724
175,3.1543
176,3.1364
177,3.1412
178,3.1461
179,3.1508
180,3.1556
181,3.1602
182,3.1429
183,3.1475
184,3.1522
185,3.1568
186,3.1398
187,3.1230
188,3.1277
189,3.1323
190,3.1368
191,3.1414
192,3.1458
193,3.1295
194,3.1340
195,3.1385
196,3.1429
197,3.1472
198,3.1515
199,3.1558
200,3.1400
201,3.1443
202,3.1287
203,3.1330
204,3.1373
205,3.1415
206,3.1456
207,3.1498
208,3.1346
209,3.1196
210,3.1238
211,3.1280
212,3.1321
213,3.1362
214,3.1402
215,3.1256
216,3.1296
217,3.1336
218,3.1376
219,3.1233
220,3.1273
221,3.1131
222,3.0991
223,3.1031
224,3.1071
225,3.0933
226,3.0973
227,3.1013
228,3.1053
229,3.1092
230,3.0957
231,3.0996
232,3.0862
233,3.0901
234,3.0940
235,3.0809
236,3.0847
237,3.0886
238,3.0756
239,3.0795
240,3.0833
241,3.0871
242,3.0744
243,3.0782
244,3.0820
245,3.0694
246,3.0732
247,3.0769
248,3.0806
249,3.0843
250,3.0880
251,3.0916
252,3.0794
253,3.0672
254,3.0709
255,3.0745
256,3.0625
257,3.0661
258,3.0698
259,3.0734
260,3.0615
261,3.0651
262,3.0687
263,3.0722
264,3.0758
265,3.0792
266,3.0827
267,3.0712
268,3.0746
269,3.0781
270,3.0667
271,3.0701
272,3.0735
273,3.0769
274,3.0803
275,3.0836
276,3.0725
277,3.0614
278,3.0647
279,3.0681
280,3.0714
281,3.0605
282,3.0638
283,3.0671
284,3.0704
285,3.0596
286,3.0629
287,3.0662
288,3.0694
289,3.0588
290,3.0621
291,3.0653
292,3.0548
293,3.0444
294,3.0476
295,3.0508
296,3.0405
297,3.0438
298,3.0336
299,3.0368
300,3.0267
301,3.0299
302,3.0331
303,3.0363
304,3.0395
305,3.0295
306,3.0196
307,3.0228
308,3.0260
309,3.0162
310,3.0194
311,3.0225
312,3.0256
313,3.0288
314,3.0191
315,3.0095
316,3.0127
317,3.0158
318,3.0189
319,3.0219
320,3.0250
321,3.0156
322,3.0186
323,3.0093
324,3.0000
325,3.0031
326,3.0061
327,3.0092
328,3.0122
329,3.0030
330,2.9939
331,2.9849
332,2.9759
333,2.9790
334,2.9820
335,2.9851
336,2.9762
337,2.9792
338,2.9704
339,2.9617
340,2.9647
341,2.9677
342,2.9591
343,2.9621
344,2.9651
345,2.9565
346,2.9595
347,2.9625
348,2.9655
349,2.9685
350,2.9714
351,2.9744
352,2.9773
353,2.9802
354,2.9831
355,2.9859
356,2.9888
357,2.9916
358,2.9944
359,2.9972
360,3.0000
361,3.0028
362,2.9945
363,2.9972
364,3.0000
365,3.0027
366,3.0055
367,3.0082
368,3.0109
369,3.0136
370,3.0162
371,3.0081
372,3.0108
373,3.0134
374,3.0160
375,3.0187
376,3.0213
377,3.0239
378,3.0265
379,3.0290
380,3.0316
381,3.0341
382,3.0366
383,3.0287
384,3.0208
385,3.0234
386,3.0259
387,3.0284
388,3.0206
389,3.0129
390,3.0154
391,3.0179
392,3.0204
393,3.0229
394,3.0254
395,3.0278
396,3.0202
397,3.0227
398,3.0251
399,3.0276
400,3.0300
401,3.0324
402,3.0348
403,3.0372
404,3.0396
405,3.0420
406,3.0443
407,3.0369
408,3.0392
409,3.0416
410,3.0439
411,3.0365
412,3.0291
413,3.0315
414,3.0338
415,3.0265
416,3.0288
417,3.0312
418,3.0335
419,3.0358
420,3.0381
421,3.0404
422,3.0427
423,3.0449
424,3.0377
425,3.0306
426,3.0329
427,3.0351
428,3.0374
429,3.0396
430,3.0419
431,3.0441
432,3.0463
433,3.0485
434,3.0507
435,3.0529
436,3.0459
437,3.0389
438,3.0411
439,3.0433
440,3.0364
441,3.0385
442,3.0317
443,3.0339
444,3.0360
445,3.0292
446,3.0314
447,3.0336
448,3.0357
449,3.0290
450,3.0222
451,3.0244
452,3.0265
453,3.0287
454,3.0308
455,3.0330
456,3.0351
457,3.0372
458,3.0393
459,3.0414
460,3.0435
461,3.0456
462,3.0476
463,3.0410
464,3.0431
465,3.0452
466,3.0472
467,3.0493
468,3.0513
469,3.0533
470,3.0468
471,3.0488
472,3.0508
473,3.0529
474,3.0549
475,3.0568
476,3.0588
477,3.0608
478,3.0628
479,3.0647
480,3.0583
481,3.0603
482,3.0539
483,3.0559
484,3.0496
485,3.0515
486,3.0535
487,3.0554
488,3.0574
489,3.0593
490,3.0612
491,3.0550
492,3.0569
493,3.0588
494,3.0607
495,3.0545
496,3.0565
497,3.0584
498,3.0602
499,3.0621
500,3.0640
501,3.0659
502,3.0677
503,3.0616
504,3.0556
505,3.0574
506,3.0593
507,3.0611
508,3.0630
509,3.0648
510,3.0667
511,3.0607
512,3.0625
