n,nochange,change
1,0,0
2,0,0
3,0,1
4,1,1
5,1,1
6,2,2
7,3,3
8,3,4
9,4,4
10,4,5
11,4,5
12,4,5
13,4,5
14,4,6
15,5,7
16,5,8
17,5,9
18,6,9
19,6,10
20,7,11
21,7,11
22,7,12
23,8,13
24,8,14
25,8,15
26,9,16
27,9,16
28,9,17
29,9,17
30,9,18
31,9,19
32,9,20
33,10,21
34,10,21
35,11,22
36,11,22
37,11,23
38,11,24
39,11,25
40,11,26
41,11,27
42,11,27
43,11,27
44,12,28
45,12,29
46,12,30
47,12,31
48,13,32
49,13,32
50,13,33
51,14,34
52,15,35
53,15,36
54,16,36
55,16,37
56,17,38
57,17,39
58,17,39
59,17,40
60,17,40
61,17,41
62,18,42
63,18,43
64,18,44
65,18,45
66,19,46
67,19,47
68,20,47
69,21,48
70,21,48
71,21,48
72,21,49
73,22,50
74,22,51
75,22,52
76,23,53
77,23,54
78,23,55
79,23,56
80,24,57
81,25,58
82,25,59
83,26,60
84,27,61
85,28,62
86,29,62
87,30,63
88,31,63
89,31,64
90,31,65
91,32,66
92,33,67
93,33,68
94,33,68
95,34,69
96,34,69
97,34,69
98,34,69
99,35,69
100,35,70
101,35,70
102,35,71
103,35,72
104,35,73
105,36,74
106,36,74
107,37,74
108,38,74
109,38,75
110,38,76
111,38,76
112,38,77
113,38,78
114,39,79
115,39,80
116,39,80
117,40,81
118,40,82
119,40,82
120,41,83
121,41,84
122,41,84
123,41,85
124,42,86
125,43,87
126,44,88
127,44,88
128,44,89
129,44,89
130,44,89
131,44,90
132,44,91
133,45,92
134,45,93
135,45,94
136,45,95
137,46,96
138,47,97
139,47,97
140,47,98
141,47,99
142,47,100
143,47,100
144,48,100
145,49,101
146,49,102
147,50,102
148,51,102
149,52,103
150,52,104
151,53,104
152,53,104
153,53,105
154,54,106
155,54,107
156,54,108
157,55,109
158,56,109
159,56,110
160,56,111
161,56,111
162,56,112
163,57,112
164,57,112
165,57,113
166,58,114
167,58,115
168,58,115
169,58,116
170,58,116
171,58,117
172,59,118
173,59,119
174,59,120
175,59,121
176,60,122
177,60,122
178,61,123
179,62,123
180,62,124
181,62,125
182,63,126
183,63,126
184,63,127
185,63,128
186,63,129
187,63,129
188,63,130
189,63,130
190,63,131
191,63,132
192,63,133
193,63,134
194,63,135
195,63,136
196,63,137
197,63,138
198,63,139
199,63,139
200,63,140
201,63,141
202,64,142
203,64,142
204,64,143
205,65,144
206,65,145
207,66,145
208,67,145
209,67,146
210,67,147
211,67,148
212,68,148
213,68,149
214,68,150
215,69,150
216,69,151
217,69,152
218,69,153
219,69,153
220,69,154
221,70,155
222,70,156
223,70,157
224,70,157
225,70,158
226,71,159
227,72,160
228,72,161
229,72,162
230,72,163
231,73,163
232,73,164
233,73,165
234,73,166
235,74,166
236,74,167
237,75,168
238,75,169
239,75,170
240,75,170
241,76,171
242,76,172
243,77,173
244,77,173
245,78,174
246,79,175
247,79,175
