n,average
10001,4690.9
10002,4691.37
10003,4691.84
10004,4692.31
10005,4692.78
10006,4693.25
10007,4693.71
10008,4694.18
10009,4694.65
10010,4695.12
10011,4691.19
10012,4691.66
10013,4692.13
10014,4692.6
10015,4693.06
10016,4693.53
10017,4694
10018,4694.47
10019,4690.54
10020,4691.01
10021,4691.48
10022,4691.95
10023,4692.42
10024,4692.88
10025,4693.35
10026,4693.82
10027,4694.29
10028,4694.76
10029,4695.22
10030,4695.69
10031,4696.16
10032,4696.63
10033,4697.1
10034,4697.57
10035,4698.03
10036,4698.5
10037,4698.97
10038,4699.44
10039,4695.51
10040,4695.98
10041,4696.45
10042,4692.52
10043,4692.99
10044,4693.46
10045,4693.93
10046,4694.39
10047,4694.86
10048,4695.33
10049,4695.79
10050,4696.26
10051,4696.73
10052,4697.2
10053,4697.66
10054,4698.13
10055,4694.21
10056,4694.68
10057,4695.14
10058,4695.61
10059,4696.08
10060,4696.55
10061,4697.01
10062,4697.48
10063,4697.95
10064,4698.41
10065,4694.5
10066,4694.96
10067,4691.05
10068,4691.52
10069,4691.99
10070,4692.45
10071,4692.92
10072,4693.38
10073,4693.85
10074,4694.32
10075,4694.78
10076,4695.25
10077,4695.71
10078,4696.18
10079,4696.64
10080,4697.11
10081,4697.58
10082,4698.04
10083,4698.51
10084,4694.6
10085,4695.07
10086,4695.53
10087,4696
10088,4696.46
10089,4696.93
10090,4697.39
10091,4697.86
10092,4698.32
10093,4698.79
10094,4699.26
10095,4699.72
10096,4700.19
10097,4700.65
10098,4701.12
10099,4701.58
10100,4702.05
10101,4702.51
10102,4702.98
10103,4703.45
10104,4703.91
10105,4704.38
10106,4704.84
10107,4705.31
10108,4705.77
10109,4706.24
10110,4706.7
10111,4707.17
10112,4707.64
10113,4708.1
10114,4708.57
10115,4709.03
10116,4709.5
10117,4709.96
10118,4710.43
10119,4710.89
10120,4711.36
10121,4711.82
10122,4707.91
10123,4708.37
10124,4708.84
10125,4709.3
10126,4705.39
10127,4705.86
10128,4706.32
10129,4706.78
10130,4702.88
10131,4698.98
10132,4699.44
10133,4695.55
10134,4696.01
10135,4696.48
10136,4696.94
10137,4697.41
10138,4697.87
10139,4693.98
10140,4690.1
10141,4690.56
10142,4691.03
10143,4691.49
10144,4691.95
10145,4692.41
10146,4692.88
10147,4693.34
10148,4693.8
10149,4694.26
10150,4694.73
10151,4690.85
10152,4691.31
10153,4691.77
10154,4692.24
10155,4692.7
10156,4693.16
10157,4693.62
10158,4689.75
10159,4690.21
10160,4690.67
10161,4691.14
10162,4691.6
10163,4692.06
10164,4692.52
10165,4692.98
10166,4689.11
10167,4689.58
10168,4690.04
10169,4690.5
10170,4690.96
10171,4691.42
10172,4691.88
10173,4692.34
10174,4692.8
10175,4693.27
10176,4693.73
10177,4694.19
10178,4694.65
10179,4695.11
10180,4695.57
10181,4696.03
10182,4696.49
10183,4696.96
10184,4697.42
10185,4697.88
10186,4698.34
10187,4698.8
10188,4699.26
10189,4699.72
10190,4700.18
10191,4700.65
10192,4701.11
10193,4701.57
10194,4702.03
10195,4702.49
10196,4702.95
10197,4703.41
10198,4699.54
10199,4700
10200,4696.13
10201,4696.59
10202,4697.05
10203,4697.51
10204,4697.97
10205,4694.11
10206,4694.57
10207,4695.03
10208,4695.49
10209,4695.95
10210,4692.1
10211,4692.56
10212,4693.01
10213,4693.47
10214,4693.93
10215,4694.39
10216,4690.54
10217,4691
10218,4691.46
10219,4691.92
10220,4692.38
10221,4692.84
10222,4693.3
10223,4693.76
10224,4694.21
10225,4694.67
10226,4695.13
10227,4695.59
10228,4696.05
10229,4696.51
10230,4696.97
10231,4693.12
10232,4693.58
10233,4694.04
10234,4694.5
10235,4694.95
10236,4695.41
10237,4695.87
10238,4696.33
10239,4696.79
10240,4697.25
10241,4697.71
10242,4698.17
10243,4698.62
10244,4699.08
10245,4699.54
10246,4700
