n,average
10001,550.777
10002,550.771
10003,550.765
10004,550.76
10005,550.754
10006,550.749
10007,550.743
10008,550.798
10009,550.792
10010,550.787
10011,550.781
10012,550.836
10013,550.831
10014,550.825
10015,550.88
10016,550.874
10017,550.929
10018,550.924
10019,550.918
10020,550.913
10021,550.907
10022,550.962
10023,550.956
10024,551.011
10025,551.006
10026,551
10027,550.995
10028,550.989
10029,550.983
10030,550.978
10031,550.972
10032,550.967
10033,550.961
10034,551.016
10035,551.01
10036,551.005
10037,550.999
10038,550.994
10039,550.988
10040,550.982
10041,550.977
10042,550.971
10043,550.966
10044,550.96
10045,550.954
10046,550.949
10047,550.943
10048,550.938
10049,550.932
10050,550.926
10051,550.921
10052,550.915
10053,550.97
10054,550.964
10055,550.959
10056,550.953
10057,550.948
10058,550.942
10059,550.997
10060,550.991
10061,550.986
10062,550.98
10063,550.975
10064,550.969
10065,550.963
10066,550.958
10067,550.952
10068,550.947
10069,550.941
10070,550.936
10071,550.93
10072,550.924
10073,550.919
10074,550.913
10075,550.908
10076,550.902
10077,550.897
10078,550.951
10079,550.946
10080,550.94
10081,550.935
10082,550.929
10083,550.923
10084,550.918
10085,550.912
10086,550.907
10087,550.901
10088,550.896
10089,550.89
10090,550.884
10091,550.879
10092,550.873
10093,550.868
10094,550.862
10095,550.857
10096,550.851
10097,550.846
10098,550.84
10099,550.835
10100,550.829
10101,550.823
10102,550.818
10103,550.812
10104,550.807
10105,550.801
10106,550.796
10107,550.79
10108,550.845
10109,550.839
10110,550.834
10111,550.828
10112,550.823
10113,550.817
10114,550.811
10115,550.806
10116,550.8
10117,550.795
10118,550.789
10119,550.784
10120,550.778
10121,550.773
10122,550.767
10123,550.762
10124,550.756
10125,550.751
10126,550.745
10127,550.8
10128,550.794
10129,550.788
10130,550.783
10131,550.777
10132,550.772
10133,550.766
10134,550.761
10135,550.755
10136,550.75
10137,550.744
10138,550.739
10139,550.733
10140,550.728
10141,550.722
10142,550.717
10143,550.711
10144,550.706
10145,550.7
10146,550.695
10147,550.689
10148,550.684
10149,550.678
10150,550.673
10151,550.667
10152,550.662
10153,550.656
10154,550.651
10155,550.645
10156,550.64
10157,550.634
10158,550.629
10159,550.623
10160,550.618
10161,550.612
10162,550.607
10163,550.601
10164,550.596
10165,550.65
10166,550.645
10167,550.639
10168,550.634
10169,550.628
10170,550.623
10171,550.617
10172,550.612
10173,550.606
10174,550.601
10175,550.595
10176,550.59
10177,550.584
10178,550.579
10179,550.633
10180,550.627
10181,550.622
10182,550.616
10183,550.611
10184,550.606
10185,550.6
10186,550.595
10187,550.589
10188,550.584
10189,550.578
10190,550.573
10191,550.567
10192,550.562
10193,550.556
10194,550.551
10195,550.545
10196,550.54
10197,550.534
10198,550.529
10199,550.524
10200,550.518
10201,550.513
10202,550.507
10203,550.502
10204,550.496
10205,550.491
10206,550.485
10207,550.48
10208,550.475
10209,550.469
10210,550.464
10211,550.458
10212,550.453
10213,550.447
10214,550.501
10215,550.496
10216,550.49
10217,550.485
10218,550.479
10219,550.474
10220,550.469
10221,550.463
10222,550.458
10223,550.452
10224,550.447
10225,550.441
10226,550.436
10227,550.431
10228,550.425
10229,550.479
10230,550.474
10231,550.468
10232,550.463
10233,550.457
10234,550.452
10235,550.446
10236,550.441
10237,550.436
10238,550.43
10239,550.425
10240,550.419
10241,550.414
10242,550.408
10243,550.403
10244,550.398
10245,550.392
10246,550.387
10247,550.381
10248,550.376
10249,550.371
10250,550.365
10251,550.36
10252,550.354
10253,550.349
10254,550.343
10255,550.338
