n,tousen
10001,0.106589
10002,0.106579
10003,0.106568
10004,0.106557
10005,0.106547
10006,0.106536
10007,0.106525
10008,0.106515
10009,0.106504
10010,0.106494
10011,0.106583
10012,0.106572
10013,0.106561
10014,0.106551
10015,0.10654
10016,0.10653
10017,0.106519
10018,0.106508
10019,0.106597
10020,0.106587
10021,0.106576
10022,0.106566
10023,0.106555
10024,0.106544
10025,0.106534
10026,0.106523
10027,0.106512
10028,0.106502
10029,0.106491
10030,0.106481
10031,0.10647
10032,0.106459
10033,0.106449
10034,0.106438
10035,0.106428
10036,0.106417
10037,0.106406
10038,0.106396
10039,0.106485
10040,0.106474
10041,0.106463
10042,0.106552
10043,0.106542
10044,0.106531
10045,0.106521
10046,0.10651
10047,0.106499
10048,0.106489
10049,0.106478
10050,0.106468
10051,0.106457
10052,0.106446
10053,0.106436
10054,0.106425
10055,0.106514
10056,0.106504
10057,0.106493
10058,0.106482
10059,0.106472
10060,0.106461
10061,0.106451
10062,0.10644
10063,0.106429
10064,0.106419
10065,0.106508
10066,0.106497
10067,0.106586
10068,0.106575
10069,0.106565
10070,0.106554
10071,0.106544
10072,0.106533
10073,0.106522
10074,0.106512
10075,0.106501
10076,0.106491
10077,0.10648
10078,0.10647
10079,0.106459
10080,0.106448
10081,0.106438
10082,0.106427
10083,0.106417
10084,0.106505
10085,0.106495
10086,0.106484
10087,0.106474
10088,0.106463
10089,0.106453
10090,0.106442
10091,0.106431
10092,0.106421
10093,0.10641
10094,0.1064
10095,0.106389
10096,0.106379
10097,0.106368
10098,0.106358
10099,0.106347
10100,0.106337
10101,0.106326
10102,0.106316
10103,0.106305
10104,0.106295
10105,0.106284
10106,0.106274
10107,0.106263
10108,0.106252
10109,0.106242
10110,0.106231
10111,0.106221
10112,0.10621
10113,0.1062
10114,0.106189
10115,0.106179
10116,0.106168
10117,0.106158
10118,0.106147
10119,0.106137
10120,0.106126
10121,0.106116
10122,0.106204
10123,0.106194
10124,0.106183
10125,0.106173
10126,0.106261
10127,0.106251
10128,0.10624
10129,0.10623
10130,0.106318
10131,0.106406
10132,0.106396
10133,0.106484
10134,0.106473
10135,0.106463
10136,0.106452
10137,0.106442
10138,0.106431
10139,0.106519
10140,0.106607
10141,0.106597
10142,0.106586
10143,0.106576
10144,0.106565
10145,0.106555
10146,0.106544
10147,0.106534
10148,0.106523
10149,0.106513
10150,0.106502
10151,0.10659
10152,0.10658
10153,0.106569
10154,0.106559
10155,0.106548
10156,0.106538
10157,0.106528
10158,0.106615
10159,0.106605
10160,0.106594
10161,0.106584
10162,0.106574
10163,0.106563
10164,0.106553
10165,0.106542
10166,0.10663
10167,0.106619
10168,0.106609
10169,0.106598
10170,0.106588
10171,0.106578
10172,0.106567
10173,0.106557
10174,0.106546
10175,0.106536
10176,0.106525
10177,0.106515
10178,0.106504
10179,0.106494
10180,0.106483
10181,0.106473
10182,0.106462
10183,0.106452
10184,0.106441
10185,0.106431
10186,0.106421
10187,0.10641
10188,0.1064
10189,0.106389
10190,0.106379
10191,0.106368
10192,0.106358
10193,0.106347
10194,0.106337
10195,0.106327
10196,0.106316
10197,0.106306
10198,0.106393
10199,0.106383
10200,0.106471
10201,0.10646
10202,0.10645
10203,0.106439
10204,0.106429
10205,0.106516
10206,0.106506
10207,0.106496
10208,0.106485
10209,0.106475
10210,0.106562
10211,0.106552
10212,0.106541
10213,0.106531
10214,0.10652
10215,0.10651
10216,0.106597
10217,0.106587
10218,0.106577
10219,0.106566
10220,0.106556
10221,0.106545
10222,0.106535
10223,0.106525
10224,0.106514
10225,0.106504
10226,0.106493
10227,0.106483
10228,0.106472
10229,0.106462
10230,0.106452
10231,0.106539
10232,0.106529
10233,0.106518
10234,0.106508
10235,0.106497
10236,0.106487
10237,0.106477
10238,0.106466
10239,0.106456
10240,0.106445
10241,0.106435
10242,0.106425
10243,0.106414
10244,0.106404
10245,0.106393
10246,0.106383
10247,0.106373
10248,0.106362
10249,0.106352
10250,0.106341
10251,0.106331
10252,0.106321
10253,0.10631
10254,0.1063
10255,0.106387
10256,0.106377
10257,0.106366
10258,0.106356
10259,0.106346
10260,0.106335
10261,0.106325
10262,0.106412
10263,0.106499
10264,0.106489
