n,tousen
10001,0.907809
10002,0.907818
10003,0.907828
10004,0.907837
10005,0.907846
10006,0.907855
10007,0.907864
10008,0.907774
10009,0.907783
10010,0.907792
10011,0.907801
10012,0.907711
10013,0.90772
10014,0.907729
10015,0.907639
10016,0.907648
10017,0.907557
10018,0.907566
10019,0.907576
10020,0.907585
10021,0.907594
10022,0.907503
10023,0.907513
10024,0.907422
10025,0.907431
10026,0.907441
10027,0.90745
10028,0.907459
10029,0.907468
10030,0.907478
10031,0.907487
10032,0.907496
10033,0.907505
10034,0.907415
10035,0.907424
10036,0.907433
10037,0.907442
10038,0.907452
10039,0.907461
10040,0.90747
10041,0.907479
10042,0.907489
10043,0.907498
10044,0.907507
10045,0.907516
10046,0.907525
10047,0.907535
10048,0.907544
10049,0.907553
10050,0.907562
10051,0.907571
10052,0.907581
10053,0.90749
10054,0.9075
10055,0.907509
10056,0.907518
10057,0.907527
10058,0.907536
10059,0.907446
10060,0.907455
10061,0.907464
10062,0.907474
10063,0.907483
10064,0.907492
10065,0.907501
10066,0.90751
10067,0.90752
10068,0.907529
10069,0.907538
10070,0.907547
10071,0.907556
10072,0.907566
10073,0.907575
10074,0.907584
10075,0.907593
10076,0.907602
10077,0.907611
10078,0.907521
10079,0.907531
10080,0.90754
10081,0.907549
10082,0.907558
10083,0.907567
10084,0.907576
10085,0.907586
10086,0.907595
10087,0.907604
10088,0.907613
10089,0.907622
10090,0.907631
10091,0.90764
10092,0.90765
10093,0.907659
10094,0.907668
10095,0.907677
10096,0.907686
10097,0.907695
10098,0.907704
10099,0.907714
10100,0.907723
10101,0.907732
10102,0.907741
10103,0.90775
10104,0.907759
10105,0.907768
10106,0.907778
10107,0.907787
10108,0.907697
10109,0.907706
10110,0.907715
10111,0.907724
10112,0.907733
10113,0.907743
10114,0.907752
10115,0.907761
10116,0.90777
10117,0.907779
10118,0.907788
10119,0.907797
10120,0.907806
10121,0.907815
10122,0.907825
10123,0.907834
10124,0.907843
10125,0.907852
10126,0.907861
10127,0.907771
10128,0.90778
10129,0.90779
10130,0.907799
10131,0.907808
10132,0.907817
10133,0.907826
10134,0.907835
10135,0.907844
10136,0.907853
10137,0.907862
10138,0.907871
10139,0.90788
10140,0.90789
10141,0.907899
10142,0.907908
10143,0.907917
10144,0.907926
10145,0.907935
10146,0.907944
10147,0.907953
10148,0.907962
10149,0.907971
10150,0.90798
10151,0.907989
10152,0.907998
10153,0.908007
10154,0.908017
10155,0.908026
10156,0.908035
10157,0.908044
10158,0.908053
10159,0.908062
10160,0.908071
10161,0.90808
10162,0.908089
10163,0.908098
10164,0.908107
10165,0.908018
10166,0.908027
10167,0.908036
10168,0.908045
10169,0.908054
10170,0.908063
10171,0.908072
10172,0.908081
10173,0.90809
10174,0.908099
10175,0.908108
10176,0.908117
10177,0.908126
10178,0.908135
10179,0.908046
10180,0.908055
10181,0.908064
10182,0.908073
10183,0.908082
10184,0.908091
10185,0.9081
10186,0.908109
10187,0.908118
10188,0.908127
10189,0.908136
10190,0.908145
10191,0.908154
10192,0.908163
10193,0.908172
10194,0.908181
10195,0.90819
10196,0.908199
10197,0.908208
10198,0.908217
10199,0.908226
10200,0.908235
10201,0.908244
10202,0.908253
10203,0.908262
10204,0.908271
10205,0.90828
10206,0.908289
10207,0.908298
10208,0.908307
10209,0.908316
10210,0.908325
10211,0.908334
10212,0.908343
10213,0.908352
10214,0.908263
10215,0.908272
10216,0.908281
10217,0.90829
10218,0.908299
10219,0.908308
10220,0.908317
10221,0.908326
10222,0.908335
10223,0.908344
10224,0.908353
10225,0.908362
10226,0.908371
10227,0.90838
10228,0.908389
10229,0.9083
10230,0.908309
10231,0.908318
10232,0.908327
10233,0.908336
10234,0.908345
10235,0.908354
10236,0.908363
10237,0.908372
10238,0.908381
10239,0.908389
10240,0.908398
10241,0.908407
10242,0.908416
10243,0.908425
10244,0.908434
10245,0.908443
10246,0.908452
10247,0.908461
10248,0.90847
10249,0.908479
10250,0.908488
10251,0.908497
10252,0.908506
10253,0.908515
10254,0.908524
10255,0.908532
10256,0.908541
10257,0.90855
10258,0.908559
10259,0.908568
10260,0.908577
10261,0.908586
10262,0.908595
10263,0.908604
10264,0.908613
10265,0.908622
10266,0.90863
10267,0.908639
10268,0.908648
10269,0.90856
10270,0.908569
10271,0.908578
10272,0.908586
10273,0.908595
10274,0.908604
10275,0.908613
10276,0.908622
10277,0.908631
10278,0.90864
10279,0.908649
10280,0.90856
10281,0.908472
10282,0.908481
10283,0.90849
10284,0.908499
10285,0.908508
10286,0.908516
10287,0.908525
10288,0.908534
10289,0.908543
10290,0.908552
10291,0.908561
10292,0.90857
10293,0.908579
10294,0.908588
10295,0.908596
10296,0.908605
10297,0.908614
10298,0.908623
10299,0.908535
10300,0.908544
10301,0.908553
10302,0.908561
10303,0.90857
10304,0.908579
10305,0.908588
10306,0.908597
10307,0.908606
10308,0.908615
10309,0.908624
10310,0.908535
10311,0.908544
10312,0.908456
10313,0.908465
10314,0.908377
10315,0.908386
10316,0.908298
10317,0.908307
10318,0.908316
10319,0.908324
10320,0.908333
10321,0.908342
10322,0.908351
10323,0.90836
10324,0.908369
10325,0.908378
10326,0.908387
10327,0.908299
10328,0.908308
10329,0.908316
10330,0.908325
10331,0.908334
10332,0.908343
10333,0.908352
10334,0.908361
10335,0.90837
10336,0.908378
10337,0.908387
10338,0.908396
10339,0.908405
10340,0.908414
10341,0.908423
10342,0.908432
10343,0.90844
10344,0.908449
10345,0.908458
10346,0.908467
10347,0.908476
10348,0.908485
10349,0.908494
10350,0.908502
10351,0.908511
10352,0.90852
10353,0.908529
10354,0.908538
10355,0.908547
10356,0.908555
10357,0.908564
10358,0.908573
10359,0.908582
10360,0.908591
10361,0.9086
10362,0.908608
10363,0.908617
10364,0.908626
10365,0.908635
10366,0.908644
10367,0.908652
10368,0.908661
10369,0.908574
10370,0.908582
10371,0.908591
10372,0.9086
10373,0.908609
10374,0.908618
10375,0.908627
10376,0.908635
10377,0.908644
10378,0.908653
10379,0.908662
10380,0.908671
10381,0.908679
10382,0.908688
10383,0.908601
10384,0.908609
10385,0.908618
10386,0.908627
10387,0.90854
10388,0.908548
10389,0.908557
10390,0.908566
10391,0.908575
10392,0.908584
10393,0.908592
10394,0.908505
10395,0.908514
10396,0.908426
10397,0.908435
10398,0.908444
10399,0.908453
10400,0.908462
10401,0.90847
10402,0.908383
10403,0.908392
10404,0.908401
10405,0.908409
10406,0.908418
10407,0.908427
10408,0.908436
10409,0.908445
10410,0.908453
10411,0.908462
10412,0.908471
10413,0.90848
10414,0.908489
10415,0.908497
10416,0.908506
10417,0.908515
10418,0.908524
10419,0.908532
10420,0.908541
10421,0.90855
10422,0.908559
10423,0.908568
10424,0.908576
10425,0.908585
10426,0.908594
10427,0.908603
10428,0.908611
10429,0.90862
10430,0.908629
10431,0.908638
10432,0.908646
10433,0.908655
10434,0.908664
10435,0.908673
10436,0.908681
10437,0.90869
10438,0.908699
10439,0.908708
10440,0.908621
10441,0.908629
10442,0.908638
10443,0.908647
10444,0.908656
10445,0.908664
10446,0.908577
10447,0.908586
10448,0.908595
10449,0.908604
10450,0.908612
10451,0.908621
10452,0.90863
10453,0.908639
10454,0.908647
10455,0.908656
10456,0.908665
10457,0.908674
10458,0.908682
10459,0.908691
10460,0.9087
10461,0.908709
10462,0.908622
10463,0.90863
10464,0.908639
10465,0.908648
10466,0.908657
10467,0.908665
10468,0.908674
10469,0.908683
10470,0.908596
10471,0.908605
10472,0.908613
10473,0.908622
10474,0.908631
10475,0.90864
10476,0.908553
10477,0.908562
10478,0.90857
10479,0.908579
10480,0.908588
10481,0.908597
10482,0.908605
10483,0.908614
10484,0.908527
10485,0.908536
10486,0.908545
10487,0.908553
10488,0.908562
10489,0.908476
10490,0.908484
10491,0.908493
10492,0.908406
10493,0.908415
10494,0.908424
10495,0.908433
10496,0.908346
10497,0.908355
10498,0.908363
10499,0.908372
10500,0.908381
10501,0.90839
10502,0.908398
10503,0.908407
10504,0.908416
10505,0.908425
10506,0.908433
10507,0.908442
10508,0.908451
10509,0.908459
10510,0.908373
10511,0.908382
10512,0.90839
10513,0.908399
10514,0.908408
10515,0.908321
10516,0.90833
10517,0.908339
10518,0.908348
10519,0.908356
10520,0.908365
10521,0.908374
10522,0.908382
10523,0.908391
10524,0.9084
10525,0.908409
10526,0.908417
10527,0.908426
10528,0.908435
10529,0.908443
10530,0.908452
10531,0.908461
10532,0.908469
10533,0.908478
10534,0.908487
10535,0.908495
10536,0.908504
10537,0.908513
10538,0.908427
10539,0.908435
10540,0.908444
10541,0.908453
10542,0.908461
10543,0.90847
10544,0.908479
10545,0.908487
10546,0.908496
10547,0.908505
10548,0.908513
10549,0.908522
10550,0.908531
10551,0.908539
10552,0.908548
10553,0.908557
10554,0.908565
10555,0.908479
10556,0.908488
10557,0.908402
10558,0.908411
10559,0.908419
10560,0.908428
10561,0.908437
10562,0.908445
10563,0.908454
10564,0.908463
10565,0.908471
10566,0.90848
10567,0.908489
10568,0.908497
10569,0.908506
10570,0.908515
10571,0.908523
10572,0.908532
10573,0.908541
10574,0.908549
10575,0.908558
10576,0.908567
10577,0.908575
10578,0.908584
10579,0.908498
10580,0.908507
10581,0.908515
10582,0.908524
10583,0.908533
10584,0.908541
10585,0.908455
10586,0.908464
10587,0.908473
10588,0.908481
10589,0.90849
10590,0.908499
10591,0.908507
10592,0.908516
10593,0.908524
10594,0.908533
10595,0.908542
10596,0.90855
10597,0.908559
10598,0.908568
10599,0.908576
10600,0.908585
10601,0.908594
10602,0.908602
10603,0.908611
10604,0.908619
10605,0.908628
10606,0.908637
10607,0.908645
10608,0.908654
10609,0.908662
10610,0.908577
10611,0.908585
10612,0.908594
10613,0.908508
10614,0.908517
10615,0.908526
10616,0.90844
10617,0.908449
10618,0.908457
10619,0.908466
10620,0.908475
10621,0.908483
10622,0.908492
10623,0.9085
10624,0.908509
10625,0.908518
10626,0.908526
10627,0.908535
10628,0.908543
10629,0.908552
10630,0.908561
10631,0.908569
10632,0.908578
10633,0.908586
10634,0.908595
10635,0.908604
10636,0.908612
10637,0.908621
10638,0.908629
10639,0.908638
10640,0.908647
10641,0.908655
10642,0.908664
10643,0.908672
10644,0.908681
10645,0.90869
10646,0.908698
10647,0.908707
10648,0.908715
10649,0.908724
10650,0.908732
10651,0.908741
10652,0.90875
10653,0.908758
10654,0.908767
10655,0.908775
10656,0.908784
10657,0.908792
10658,0.908801
10659,0.908809
10660,0.908818
10661,0.908827
10662,0.908835
10663,0.908844
10664,0.908852
10665,0.908861
10666,0.908776
10667,0.908784
10668,0.908793
10669,0.908801
10670,0.908716
10671,0.908631
10672,0.908639
10673,0.908648
10674,0.908657
10675,0.908665
10676,0.908674
10677,0.908682
10678,0.908691
10679,0.908699
10680,0.908708
10681,0.908716
10682,0.908725
10683,0.908734
10684,0.908742
10685,0.908751
10686,0.908759
10687,0.908768
10688,0.908776
10689,0.908785
10690,0.908793
10691,0.908802
10692,0.90881
10693,0.908819
10694,0.908827
10695,0.908836
10696,0.908844
10697,0.908853
10698,0.908861
10699,0.90887
10700,0.908879
10701,0.908794
10702,0.908802
10703,0.908811
10704,0.908819
10705,0.908828
10706,0.908836
10707,0.908845
10708,0.908853
10709,0.908862
10710,0.90887
10711,0.908879
10712,0.908887
10713,0.908896
10714,0.908904
